,org_id,endpoint_id,status,current,date_time,Churn_status
13792,160090,59459970,3,1,2017-12-02,Churned
10224,160090,59459976,4,0,2018-02-14,Not Churned
6697,160090,59462005,3,1,2017-12-02,Churned
10890,160090,59462006,3,1,2017-12-02,Churned
8771,160090,59462038,3,1,2017-12-02,Churned
13793,160090,59462063,3,1,2017-12-02,Churned
5457,160090,59462069,3,1,2017-12-02,Churned
64051,160090,59462090,4,0,2018-07-16,Not Churned
8772,160090,59462096,3,1,2017-12-02,Churned
13794,160090,59462097,3,1,2017-12-02,Churned
11598,160090,59462103,4,0,2018-02-15,Not Churned
8166,160090,59462104,3,1,2017-12-02,Churned
5458,160090,59462128,3,1,2017-12-02,Churned
4830,160090,59462129,3,1,2017-12-02,Churned
9997,160090,59462130,3,1,2017-12-02,Churned
4831,160090,59462131,3,1,2017-12-02,Churned
13795,160090,59462133,3,1,2017-12-02,Churned
10891,160090,59462134,3,1,2017-12-02,Churned
5459,160090,59462136,3,1,2017-12-02,Churned
2610,160090,59462144,3,1,2017-12-02,Churned
9999,160090,59462154,3,1,2017-12-02,Churned
3863,160090,59462183,3,1,2017-12-02,Churned
10620,160090,59462202,4,0,2017-12-11,Not Churned
10892,160090,59462204,3,1,2017-12-02,Churned
4748,160090,59462215,3,1,2017-12-02,Churned
4832,160090,59462218,3,1,2017-12-02,Churned
8773,160090,59462238,3,1,2017-12-02,Churned
5460,160090,59462259,3,1,2017-12-02,Churned
2611,160090,59462277,3,1,2017-12-02,Churned
5461,160090,59462319,3,1,2017-12-02,Churned
472,160090,59462333,3,1,2017-12-02,Churned
10000,160090,59462383,3,1,2017-12-02,Churned
13949,160090,59462413,4,0,2017-12-27,Not Churned
10001,160090,59462474,3,1,2017-12-02,Churned
2780,160090,59462496,3,1,2018-02-14,Churned
8774,160090,59462524,3,1,2017-12-02,Churned
37823,160090,59462534,4,0,2018-06-14,Not Churned
13797,160090,59462656,3,1,2017-12-02,Churned
4833,160090,59462777,3,1,2017-12-02,Churned
10893,160090,59462812,3,1,2017-12-02,Churned
2612,160090,59462868,3,1,2017-12-02,Churned
3866,160090,59462889,3,1,2017-12-02,Churned
35144,160090,59462898,4,0,2018-06-11,Not Churned
2511,160090,59462905,4,0,2018-03-28,Not Churned
10003,160090,59462911,3,1,2017-12-02,Churned
3867,160090,59462921,3,1,2017-12-02,Churned
8172,160090,59462963,3,1,2017-12-02,Churned
13799,160090,59462969,3,1,2017-12-02,Churned
3869,160090,59469018,3,1,2017-12-02,Churned
3870,160090,59469032,3,1,2017-12-02,Churned
3871,160090,59469064,3,1,2017-12-02,Churned
8173,160090,59469077,3,1,2017-12-02,Churned
5466,160090,59469107,3,1,2017-12-02,Churned
4452,160090,59469128,4,0,2018-03-10,Not Churned
77481,160090,59469150,3,1,2018-07-25,Churned
11862,160090,59469230,3,1,2018-02-26,Churned
1699,160090,59469255,3,1,2017-12-02,Churned
6626,160090,59469488,4,0,2017-12-15,Not Churned
11343,160090,59469511,3,1,2017-12-02,Churned
5467,160090,59469561,3,1,2017-12-02,Churned
6833,160090,59469571,3,1,2017-12-02,Churned
20481,160090,59469582,4,0,2018-04-16,Not Churned
2613,160090,59469585,3,1,2017-12-02,Churned
10895,160090,59469597,3,1,2017-12-02,Churned
6834,160090,59469612,3,1,2017-12-02,Churned
10007,160090,59469615,3,1,2017-12-02,Churned
4836,160090,59469709,3,1,2017-12-02,Churned
5468,160090,59469726,3,1,2017-12-02,Churned
6835,160090,59469742,3,1,2017-12-02,Churned
4752,160090,59469891,3,1,2017-12-02,Churned
11344,160090,59469893,3,1,2017-12-02,Churned
47089,160090,59479086,4,0,2018-06-13,Not Churned
