org_id,endpoint_id,status,current,date_time
160090,74002331,3,1,12/2/2017
160090,85592712,1003,1,5/19/2018
160090,86164407,1003,1,5/28/2018
160090,75821508,1003,1,6/28/2018
160090,87939366,1003,1,6/29/2018
160090,69689293,1003,1,6/10/2018
160090,87554007,1003,1,6/22/2018
160090,82275137,1003,1,6/21/2018
160090,73191249,1003,1,6/13/2018
160090,86956315,1003,1,6/11/2018
160090,87116277,1003,1,6/14/2018
160090,88307080,1003,1,7/8/2018
160090,88520174,1003,1,7/16/2018
160090,88520174,1003,1,7/10/2018
160090,89676934,1003,1,7/31/2018
160090,88520174,4,1,7/17/2018
160090,77725358,1003,1,7/30/2018
160090,2631844,3,1,12/2/2017
160090,2631877,3,1,12/2/2017
160090,2638674,3,1,12/2/2017
160090,15994683,3,1,12/2/2017
160090,29426123,3,1,12/2/2017
160090,29426143,3,1,12/2/2017
160090,29426154,3,1,12/2/2017
160090,29443235,3,1,12/2/2017
160090,29443451,3,1,12/2/2017
160090,29444116,3,1,12/2/2017
160090,29444237,3,1,12/2/2017
160090,29444273,3,1,12/2/2017
160090,29444516,3,1,12/2/2017
160090,29444753,3,1,12/2/2017
160090,29444758,3,1,12/2/2017
160090,29504655,3,1,12/2/2017
160090,29504696,3,1,12/2/2017
160090,29509033,3,1,12/2/2017
160090,29539474,3,1,12/2/2017
160090,29539726,3,1,12/2/2017
160090,29544121,3,1,12/2/2017
160090,29637661,3,1,12/2/2017
160090,29814356,3,1,12/2/2017
160090,29814363,3,1,12/2/2017
160090,29814877,3,1,12/2/2017
160090,29816066,3,1,12/2/2017
160090,29816465,3,1,12/2/2017
160090,29816511,3,1,12/2/2017
160090,29816549,3,1,12/2/2017
160090,35313518,3,1,12/2/2017
160090,35313557,3,1,12/2/2017
160090,35313590,3,1,12/2/2017
160090,35313995,3,1,12/2/2017
160090,35460258,3,1,12/2/2017
160090,35970191,3,1,12/2/2017
160090,36461842,3,1,12/2/2017
160090,36813501,3,1,12/2/2017
160090,37379069,3,1,12/2/2017
160090,37379086,3,1,12/2/2017
160090,37797970,3,1,12/2/2017
160090,39083960,3,1,12/2/2017
160090,42830381,3,1,12/2/2017
160090,42998341,3,1,12/2/2017
160090,46693203,3,1,12/2/2017
160090,46774339,3,1,12/2/2017
160090,48929357,3,1,12/2/2017
160090,48933949,3,1,12/2/2017
160090,49805417,3,1,12/2/2017
160090,50370111,3,1,12/2/2017
160090,50377182,3,1,12/2/2017
160090,50432013,3,1,12/2/2017
160090,51415759,3,1,12/2/2017
160090,52366883,3,1,12/2/2017
160090,52366932,3,1,12/2/2017
160090,52366934,3,1,12/2/2017
160090,52398123,3,1,12/2/2017
160090,52443569,3,1,12/2/2017
160090,52455087,3,1,12/2/2017
160090,54108709,3,1,12/2/2017
160090,54627493,3,1,12/2/2017
160090,54785628,3,1,12/2/2017
160090,54823224,3,1,12/2/2017
160090,55315318,3,1,12/2/2017
160090,55386836,3,1,12/2/2017
160090,55407712,3,1,12/2/2017
160090,55720286,3,1,12/2/2017
160090,55720306,3,1,12/2/2017
160090,55720318,3,1,12/2/2017
160090,55720334,3,1,12/2/2017
160090,55720361,3,1,12/2/2017
160090,55720370,3,1,12/2/2017
160090,55720380,3,1,12/2/2017
160090,55720388,3,1,12/2/2017
160090,55720428,3,1,12/2/2017
160090,55720433,3,1,12/2/2017
160090,55720445,3,1,12/2/2017
160090,55720454,3,1,12/2/2017
160090,55720469,3,1,12/2/2017
160090,55720472,3,1,12/2/2017
160090,55727357,3,1,12/2/2017
160090,55727380,3,1,12/2/2017
160090,55727393,3,1,12/2/2017
160090,55727398,3,1,12/2/2017
160090,55727407,3,1,12/2/2017
160090,55727424,3,1,12/2/2017
160090,55727426,3,1,12/2/2017
160090,55727433,3,1,12/2/2017
160090,55727436,3,1,12/2/2017
160090,55727465,3,1,12/2/2017
160090,55727561,3,1,12/2/2017
160090,55727597,3,1,12/2/2017
160090,55727604,3,1,12/2/2017
160090,55727605,3,1,12/2/2017
160090,55727608,3,1,12/2/2017
160090,55727612,3,1,12/2/2017
160090,55727625,3,1,12/2/2017
160090,55727627,3,1,12/2/2017
160090,55727648,3,1,12/2/2017
160090,55727668,3,1,12/2/2017
160090,55727722,3,1,12/2/2017
160090,55727738,3,1,12/2/2017
160090,55727743,3,1,12/2/2017
160090,55727778,3,1,12/2/2017
160090,55727781,3,1,12/2/2017
160090,55727792,3,1,12/2/2017
160090,55727803,3,1,12/2/2017
160090,55727808,3,1,12/2/2017
160090,55727828,3,1,12/2/2017
160090,55727843,3,1,12/2/2017
160090,55727844,3,1,12/2/2017
160090,55727904,3,1,12/2/2017
160090,55727905,3,1,12/2/2017
160090,55727908,3,1,12/2/2017
160090,55727909,3,1,12/2/2017
160090,55727911,3,1,12/2/2017
160090,55727943,3,1,12/2/2017
160090,55727951,3,1,12/2/2017
160090,55734899,3,1,12/2/2017
160090,55734913,3,1,12/2/2017
160090,55734919,3,1,12/2/2017
160090,55734931,3,1,12/2/2017
160090,55734951,3,1,12/2/2017
160090,55734960,3,1,12/2/2017
160090,55734962,3,1,12/2/2017
160090,55734967,3,1,12/2/2017
160090,55734970,3,1,12/2/2017
160090,55734977,3,1,12/2/2017
160090,55735026,3,1,12/2/2017
160090,55735076,3,1,12/2/2017
160090,55735099,3,1,12/2/2017
160090,55735116,3,1,12/2/2017
160090,55735119,3,1,12/2/2017
160090,55735139,3,1,12/2/2017
160090,55735179,3,1,12/2/2017
160090,55735228,3,1,12/2/2017
160090,55735229,3,1,12/2/2017
160090,55735237,3,1,12/2/2017
160090,55735239,3,1,12/2/2017
160090,55735257,3,1,12/2/2017
160090,55735330,3,1,12/2/2017
160090,55735362,3,1,12/2/2017
160090,55735393,3,1,12/2/2017
160090,55735419,3,1,12/2/2017
160090,55743106,3,1,12/2/2017
160090,55743111,3,1,12/2/2017
160090,55743118,3,1,12/2/2017
160090,55743119,3,1,12/2/2017
160090,55743169,3,1,12/2/2017
160090,55743175,3,1,12/2/2017
160090,55743177,3,1,12/2/2017
160090,55743191,3,1,12/2/2017
160090,55743224,3,1,12/2/2017
160090,55743310,3,1,12/2/2017
160090,55743365,3,1,12/2/2017
160090,55743367,3,1,12/2/2017
160090,55743379,3,1,12/2/2017
160090,55743423,3,1,12/2/2017
160090,55743427,3,1,12/2/2017
160090,55743460,3,1,12/2/2017
160090,55743464,3,1,12/2/2017
160090,55743471,3,1,12/2/2017
160090,55743508,3,1,12/2/2017
160090,55743519,3,1,12/2/2017
160090,55743535,3,1,12/2/2017
160090,55743554,3,1,12/2/2017
160090,55743574,3,1,12/2/2017
160090,55743589,3,1,12/2/2017
160090,55743604,3,1,12/2/2017
160090,55743608,3,1,12/2/2017
160090,55743612,3,1,12/2/2017
160090,55743613,3,1,12/2/2017
160090,55749047,3,1,12/2/2017
160090,55749066,3,1,12/2/2017
160090,55749080,3,1,12/2/2017
160090,55749087,3,1,12/2/2017
160090,55749101,3,1,12/2/2017
160090,55749142,3,1,12/2/2017
160090,55749145,3,1,12/2/2017
160090,55749184,3,1,12/2/2017
160090,55749210,3,1,12/2/2017
160090,55749232,3,1,12/2/2017
160090,55749251,3,1,12/2/2017
160090,55749252,3,1,12/2/2017
160090,55749295,3,1,12/2/2017
160090,55749310,3,1,12/2/2017
160090,55749324,3,1,12/2/2017
160090,55749382,3,1,12/2/2017
160090,55749497,3,1,12/2/2017
160090,55749549,3,1,12/2/2017
160090,55753707,3,1,12/2/2017
160090,55753721,3,1,12/2/2017
160090,55753739,3,1,12/2/2017
160090,55753740,3,1,12/2/2017
160090,55753758,3,1,12/2/2017
160090,55753775,3,1,12/2/2017
160090,55753793,3,1,12/2/2017
160090,55753796,3,1,12/2/2017
160090,55790991,3,1,12/2/2017
160090,55806837,3,1,12/2/2017
160090,55912831,3,1,12/2/2017
160090,56044181,3,1,12/2/2017
160090,56058567,3,1,12/2/2017
160090,56535314,3,2,12/2/2017
160090,56911509,3,1,12/2/2017
160090,57126911,3,1,12/2/2017
160090,57784549,3,1,12/2/2017
160090,58265390,3,1,12/2/2017
160090,58797763,3,1,12/2/2017
160090,16804679,3,1,12/2/2017
160090,29426228,3,1,12/2/2017
160090,29426264,3,1,12/2/2017
160090,29426321,3,1,12/2/2017
160090,29426323,3,1,12/2/2017
160090,29426379,3,1,12/2/2017
160090,29442799,3,1,12/2/2017
160090,29442844,3,1,12/2/2017
160090,29444156,3,1,12/2/2017
160090,29444175,3,1,12/2/2017
